,sentences
924,"['brilliant', 'open', 'sourc', 'web', 'base', 'ide', 'call', 'codebend', 'github', 'arduino', 'great', 'commun', 'work', 'thousand', 'exampl', 'dev', 'team', 'except', 'codebend', 'program', 'exist', 'sketch', 'devic', 'clone', 'exist', 'sketch', 'modfi', 'need', 'share', 'work', 'world', 'emb', 'code', 'websit', 'blog', 'tutori', 'crossplatform', 'work', 'window', 'mac', 'linux', 'firefox', 'chrome', 'codebend', 'support', 'window', 'window', 'xp', 'window', 'ye', 'even', 'vista', 'mac', 'linux', 'work', 'within', 'major', 'browser']"
925,"['gener', 'good', 'idea', 'tri', 'input', 'pin', 'configur', 'vice', 'versa', 'addit', 'prefer', 'input', 'tristat', 'pin', 'case', 'harmless', 'good', 'practic', 'especi', 'sinc', 'caus', 'issu', 'coupl', 'hardwar', 'gener', 'arduino', 'protect', 'softwar', 'issu', 'cant', 'burnout', 'arduino', 'faulti', 'softwar', 'howev', 'mani', 'way', 'fri', 'arduino', 'via', 'hardwar']"
926,"['work', 'design', 'project', 'school', 'noncapston', 'nonelectr', 'engin', 'project', 'build', 'system', 'remot', 'control', 'winch', 'boat', 'lower', 'independ', 'oper', 'meter', 'specifi', 'depth', 'use', 'pressur', 'transduc', 'control', 'shore', 'current', 'idea', 'arduino', 'collect', 'data', 'pressur', 'transduc', 'connect', 'winch', 'adjust', 'updown', 'need', 'base', 'desir', 'input', 'depth', 'arduino', 'connect', 'raspberri', 'pi', 'via', 'usb', 'raspberri', 'pi', 'commun', 'via', 'wifi', 'usb', 'adapt', 'router', 'ghz', 'shore', 'commun', 'laptop', 'shore', 'import', 'laptop', 'shore', 'record', 'data', 'well', 'chang', 'input', 'depth', 'arduino', 'arduino', 'raspberri', 'pi', 'router', 'laptop', 'shore', 'saw', 'information2', 'talk', 'connect', 'arduino', 'via', 'wifi', 'unabl', 'determin', 'potenti', 'rang', 'relat', 'project', 'use', 'boat', 'us', 'xbee', 'shield', 'concern', 'abl', 'specif', 'point', 'antenna', 'boat', 'back', 'shore', 'look', 'nondirectionori', 'solut', 'wonder', 'potenti', 'way', 'commun', 'back', 'shore', 'control', 'winch', 'depth', 'output', 'display', 'shore', 'show', 'depth', 'abl', 'chang', 'depth', 'shore', 'furthermor', 'wonder', 'setup', 'feasibl', 'suggest', 'might', 'thank']"
927,"['certain', 'repeat', 'ye', 'here', 'coupl', 'problem', 'run', 'use', 'pin', 'connect', 'usb', 'wouldnt', 'damag', 'usb', 'chip', 'board', 'separ', 'usb', 'chip', 'probabl', 'ignor', 'corrupt', 'data', 'never', 'mention', 'board', 'uno', 'modifi', 'usb', 'firmwar', 'might', 'issu', 'reflash', 'board', 'forget', 'flash', 'keyboard', 'firmwar', 'wont', 'damag', 'think', 'brick', 'forget', 'reflash', 'disconnect', 'coupl', 'pin', 'leav', 'other', 'give', 'wierd', 'result', 'fri', 'arduino', 'whatev', 'partial', 'attach', 'physic', 'modif', 'board', 'second', 'last', 'realli', 'worri', 'seen', 'previou', 'discuss', 'destroy', 'board', 'sketch', 'noth', 'suggest', 'lastli', 'chanc', 'damag', 'set', 'fuse', 'chip', 'board']"
928,"['although', 'control', 'arduino', 'pretti', 'well', 'protect', 'still', 'damag', 'esd', 'electro', 'static', 'discharg', 'effect', 'make', 'crispi', 'sound', 'pull', 'woolen', 'sweater', 'winter', 'walk', 'rubber', 'shoe', 'carpet', 'touch', 'someon', 'els', 'metal', 'ground', 'object', 'feel', 'pick', 'static', 'electr', 'damag', 'control', 'complet', 'broken', 'function', 'lifetim', 'shorten', 'arduino', 'easili', 'kill', 'piezo', 'ga', 'lighter', 'spark', 'near', 'copper', 'trace', 'feed', 'directli', 'control', 'larg', 'effect', 'control', 'pretti', 'well', 'protect', 'dont', 'worri', 'much', 'kid', 'run', 'around', 'rubber', 'shoe', 'better', 'sure', 'dont', 'accident', 'draw', 'spark', 'littl', 'finger', 'arduino', 'protect', 'metal', 'bag', 'best', 'put', 'away', 'cupboard', 'box', 'trick', 'equal', 'well', 'gener', 'rule', 'thumb', 'faster', 'electron', 'sensit', 'esd', 'due', 'probabl', 'sensit', 'uno', 'mega', 'normal', 'avoid', 'static', 'electr', 'ok']"
929,"['instruct', 'burn', 'bootload', 'arduino', 'fix', 'error', 'get', 'exactli', 'bootload']"
930,"['bootload', 'small', 'program', 'almost', 'alway', 'arduino', 'manag', 'upload', 'start', 'sketch', 'blink', 'pin', 'led', 'whenev', 'board', 'reset', 'burn', 'bootload', 'obtain', 'avr', 'isp', 'usbtinyisp', 'parallelprogramm', 'anoth', 'arduino', 'board', 'isp', 'unless', 'otherwis', 'instruct', 'connect', 'isp', 'icsp', 'pin', 'board', 'power', 'board', 'either', 'usb', 'cabl', 'extern', 'power', 'suppli', 'sure', 'select', 'correct', 'board', 'burn', 'ide', 'doublecheck', 'even', 'upload', 'program', 'correctli', 'upload', 'doesnt', 'alway', 'requir', 'right', 'board', 'select', 'appropri', 'programm', 'tool', 'programm', 'click', 'tool', 'burn', 'bootload', 'wait', 'shouldnt', 'minut', 'often', 'take', 'second', 'sourc']"
931,"['here', 'sainsmart', 'uno', 'parallax', 'propel', 'probabl', 'small', 'comput', 'rather', 'microcontrol', 'still', 'accomplish', 'mostli', 'task', 'electron', 'compar', 'price', 'beagleboard', 'raspberri', 'pi']"
932,"['arduino', 'becom', 'metonym', 'userfriendli', 'embed', 'develop', 'platformsa', 'accur', 'descript', 'synechdoch', 'exampl', 'kleenex', 'question', 'wish', 'ask', 'earli', 'arduino', 'develop', 'arduino', 'synechdot', 'lead', 'broad', 'answer', 'tri', 'give', 'highlight', 'kind', 'answer', 'wiki', 'list', 'arduino', 'board', 'compat', 'system', 'read', 'enough', 'figur', 'contribut', 'edit', 'wiki', 'aspect', 'question', 'ill', 'tri', 'answer', 'architectur', 'synonym', 'processor', 'type', 'pin', 'locat', 'aka', 'import', 'pinout', 'develop', 'environ', 'work', 'offshoot', 'thing', 'interest', 'architectur', 'arduino', 'base', 'avr', 'processor', 'coupl', 'variant', 'easi', 'research', 'avr', 'atmega', 'base', 'processor', 'arduino', 'initi', 'netduino', 'myriad', 'offshoot', 'ram', 'clock', 'speed', 'chipkit', 'other', 'non', 'atmega', 'section', 'wiki', 'usual', 'ram', 'clock', 'speed', 'entir', 'differ', 'embed', 'platform', 'raspberri', 'pi', 'beagl', 'etc', 'pin', 'locat', 'physic', 'interfac', 'processor', 'believ', 'heart', 'problem', 'read', 'research', 'project', 'sadli', 'couldnt', 'even', 'pin', 'never', 'stock', 'arduino', 'board', 'anymor', 'pin', 'function', 'matter', 'name', 'part', 'dont', 'ob', 'pin', 'number', 'pin', 'multipl', 'us', 'root', 'embed', 'design', 'need', 'compact', 'possibl', 'maxim', 'use', 'amaz', 'pinout', 'graphic', 'help', 'illustr', 'develop', 'environ', 'arduino', 'ide', 'base', 'process', 'support', 'default', 'way', 'compil', 'code', 'upload', 'arduino', 'help', 'deal', 'synechdoch', 'arduino', 'majenko', 'creat', 'uecid', 'allow', 'place', 'program', 'delpoy', 'arduino', 'board', 'regardless', 'architectur', 'googl', 'avr', 'freak', 'learn', 'done', 'via', 'command', 'line', 'netduino', 'net', 'platform', 'microsoft', 'dot', 'net', 'tool', 'program', 'platform', 'methodolog', 'behind', 'bit', 'differ', 'rub', 'classic', 'embed', 'engin', 'wrong', 'way', 'net', 'platform', 'requir', 'compil', 'host', 'softwar', 'board', 'modul', 'visual', 'environ', 'must', 'match', 'version', 'code', 'get', 'compil', 'platform', 'independ', 'net', 'object', 'download', 'interpret', 'platform', 'peopl', 'make', 'net', 'base', 'board', 'usual', 'good', 'explain', 'tool', 'chain', 'develop', 'process', 'offshoot', 'here', 'userfriendli', 'embed', 'design', 'realli', 'shine', 'peopl', 'love', 'arduino', 'mostli', 'mod', 'improv', 'ruggedino', 'electr', 'engin', 'electr', 'harden', 'origin', 'design', 'better', 'resist', 'common', 'user', 'mistak', 'damag', 'avr', 'processor', 'freeduino', 'model', 'call', 'eleven', 'come', 'prototyp', 'area', 'board', 'easi', 'custom', 'circuit', 'sketch', 'brand', 'belief', 'gold', 'contact', 'suffer', 'heat', 'satur', 'better', 'way', 'origin', 'arduino', 'made', 'seeedstudio', 'great', 'mega', 'uno', 'pinout', 'ram', 'pcb', 'red', 'chipkit', 'platform', 'love', 'maintain', 'arduino', 'pinout', 'faith', 'bring', 'processor', 'incred', 'resourc', 'univers', 'give', 'extra', 'pin', 'two', 'row', 'header', 'add', 'anoth', 'host', 'pin', 'insid', 'standard', 'pin', 'ram', 'help', 'greatli', 'ambiti', 'project', 'updat', 'sep', 'impress', 'nearli', 'comprehens', 'list', 'develop', 'board', 'found', 'via', 'search', 'mouser', 'offer', 'far', 'power', 'arduino', 'le', 'trade', 'differ', 'io', 'pin', 'differ', 'capabl', 'specif', 'one', 'mcu', 'spec', 'critiqu', 'exactli', 'function', 'differ', 'product', 'cypress', 'cy8kit059', 'psoc5', 'architectur', 'mean', 'gener', 'block', 'programm', 'fpga', 'via', 'ide', 'op', 'amp', 'compar', 'control', 'sort', 'crazi', 'note', 'dev', 'board', 'le', 'newbi', 'friendli', 'download', 'code', 'target', 'total', 'worth', 'extra', 'built', 'ftdilik', 'capabl']"
933,"['spark', 'core', 'easi', 'arduino', 'program', 'platform', 'platform', 'built', 'primu', 'wifi', 'easi', 'cheap', 'even', 'program', 'spark', 'core', 'anywher']"
934,"['there', 'stm32', 'nucleo', 'discoveri', 'board', 'nucleo', 'even', 'hardwarecompat', 'arduino', 'shield']"
935,"['usual', 'pain', 'stick', 'multipl', 'line', 'becom', 'convolut', 'back', 'sprintf', 'annoy', 'avail', 'buffer', 'usag', 'simpl', 'char', 'buffer35', 'awar', 'long', 'data', 'forget', 'unprint', 'null', 'term', 'char', 'sprintfbuffervar1itvar2itvar3ivar1var2var3', 'serialprintlnbuff', 'word', 'warn', 'though', 'doesnt', 'default', 'support', 'float', 'type']"
936,"['wouldnt', 'normal', 'put', 'two', 'answer', 'question', 'found', 'today', 'printf', 'without', 'buffer', 'still', 'float', 'point', 'limit', 'edit', 'thought', 'littl', 'test', 'work', 'quit', 'well', 'ad', 'better', 'test', 'loop', 'format', 'output']"
937,"['number', 'consider', 'made', 'consid', 'wireless', 'commun', 'solut', 'long', 'distanc', 'water', 'wifi', 'capabl', 'work', 'long', 'distanc', 'especi', 'higher', 'power', 'card', '1w', 'one', 'readili', 'avail', 'direct', 'antenna', 'anyth', 'dbi', 'dbi', 'gain', 'advantag', 'disadvantag', 'use', 'wifi', 'purpos', 'wifi', 'us', 'ghz', 'attenu', 'presenc', 'water', 'water', 'vapour', 'close', 'surfac', 'water', 'surfac', 'caus', 'variabl', 'rang', 'weather', 'condit', 'increas', 'humid', 'spray', 'even', 'slight', 'choppi', 'massiv', 'increas', 'humid', 'close', 'surfac', 'wifi', 'fairli', 'heavyweight', 'protocol', 'sever', 'layer', 'set', 'connect', 'made', 'take', 'mean', 'margin', 'connect', 'zero', 'throughput', 'never', 'setup', 'wifi', 'intend', 'high', 'throughput', '1mbp', 'doesnt', 'degrad', 'grace', 'point', 'isnt', 'often', 'shift', 'data', 'fast', 'arduino', 'project', 'speed', 'rang', 'tradeoff', 'direct', 'antenna', 'boat', 'hard', 'work', 'gain', 'antenna', 'direct', 'turn', 'mean', 'aim', 'better', 'even', 'mild', 'rock', 'difficult', 'imposs', 'depend', 'smooth', 'pond', 'sea', 'realli', 'wifi', 'ubiqu', 'neat', 'product', 'nanost', 'allow', 'long', 'rang', 'connect', 'setup', 'long', 'rang', 'person', 'stay', 'away', 'ghz', 'near', 'water', 'ism', 'band', 'depend', 'locat', 'mean', 'mhz', 'mhz', 'mhz', 'mhz', 'depend', 'region', 'world', 'one', 'allow', 'lower', 'frequenc', 'suit', 'longer', 'rang', 'penetr', 'object', 'water', 'lot', 'differ', 'solut', 'space', 'up', 'down', 'hope', 'rfm12b', 'popular', 'small', 'rf', 'board', 'sever', 'easi', 'librari', 'avail', 'jeelib', 'person', 'capabl', 'ft', 'rang', 'requir', 'avail', 'ism', 'band', 'person', 'found', 'mhz', 'best', 'outdoor', 'whilst', 'mhz', 'better', 'indoor', 'newer', 'hope', 'rfm69w', 'similar', 'board', 'function', 'power', 'dbm', '20mw', 'power', 'dbm', '1mw', 'power', 'rfm12b', 'see', 'increas', 'rang', 'board', 'rfm69hw', 'high', 'power', 'version', 'dbm', '100mw', 'power', 'havent', 'rang', 'test', 'expect', 'time', 'rang', 'rfm12b', 'ciseco', 'uk', 'compani', 'seri', 'board', 'cc1110', 'chip', 'transceiv', 'xbee', 'form', 'board', 'arf', 'power', 'amplifi', 'dbm', 'output', 'power', '400mw', 'brief', 'test', 'built', 'area', 'seen', 'rang', 'km', 'import', 'note', 'transceiv', 'send', 'receiv', 'mean', 'acknowledg', 'packet', 'receiv', 'board', 'nrf2401l', 'ghz', 'much', 'lighter', 'weight', 'protocol', 'wifi', 'work', 'better', 'margin', 'rang', 'dirt', 'cheap', 'disadvantag', 'water', 'impact', 'rang', 'dont', 'xbee', 'board', 'overpr', 'find', 'rang', 'isnt', 'great', 'even', 'higher', 'power', 'modul', 'roll', 'simpl', '868915mhz', 'onoffkey', 'ook', 'transmitterreceiv', 'protocol', 'design', 'isnt', 'easi', 'though', 'lose', 'lot', 'hidden', 'function', 'advanc', 'board']"
938,"['though', 'emul', 'quit', 'use', 'debug', 'code', 'side', 'effect', 'realworld', 'applic', 'includ', 'circuitri', 'besid', 'arduino', 'microcontrol', 'arduino', 'jtag', 'interfac', 'pretti', 'straightforward', 'eg', 'arduino', 'uno']"
939,"['play', 'arduino', 'uno', 'compar', 'datasheet', 'determin', 'differ', 'research', 'answer', 'look', 'codepwmfrequ', 'quick', 'rundown', 'tutorialpwm', 'timerpwmcheatsheet', 'explain', 'prescal', 'result', 'frequenc', 'vari', 'pwm', 'frequenc', 'timer0', 'timer2', 'featur', 'request', 'adjust', 'pwm', 'frequenc', 'pwm', 'frequenc', 'librari', 'realli', 'datasheet', 'atmega328', 'pwm', 'pin', 'd3', 'd5', 'd6', 'd9', 'd10', 'd11', 'use', 'd11', 'sinc', 'attach', 'oscilloscop', 'mosi', 'pin', 'iscp', 'd11', 'map', 'pb3', 'mosioc2apcint3', 'datasheet', 'cool', 'gfx', 'normal', 'usag', 'first', 'let', 'happen', 'set', 'arbitrari', 'pwm', 'pin', 'result', 'freq', '487hz', 'duti', '205m', 'first', 'point', 'given', 'hz', 'pwm', 'durat', 'actual', 'seem', 'close', 'said', '2m', 'mayb', 'misunderstand', 'play', 'prescal', 'sever', 'link', 'post', 'differ', 'prescal', 'avail', 'depend', 'timer', 'use', 'eg', 'pin', 'control', 'timer', 'fast', 'pwm', 'mode', 'cycl', 'length', 'set', 'divisor', 'frequenc', 'x01', 'x02', 'x03', 'x04', 'x05', 'tccr0b', 'tccr0b', 'b11111000', 'set', 'pin', 'control', 'timer', 'phasecorrect', 'pwm', 'mode', 'cycl', 'length', 'set', 'divisor', 'frequenc', 'x01', 'x02', 'x03', 'x04', 'x05', 'tccr1b', 'tccr1b', 'b11111000', 'set', 'pin', 'control', 'timer', 'phasecorrect', 'pwm', 'mode', 'cycl', 'length', 'set', 'divisor', 'frequenc', 'x01', 'x02', 'x03', 'x04', 'x05', 'x06', 'x07', 'tccr2b', 'tccr2b', 'b11111000', 'set', 'frequenc', 'hz', 'assum', 'hz', 'system', 'clock', 'rel', 'simpl', 'setup', 'set', 'bottom', 'code', 'block', 'mind', 'play', 'prescal', 'timer0', 'control', 'milli', 'delay', 'choic', 'steer', 'clear', 'timer0', 'pwm', 'pin', 'exampl', 'use', 'inbuilt', 'prescal', 'without', 'addit', 'librari', 'pin', 'void', 'setup', 'pinmodepinoutput', 'absolut', 'requir', 'int', 'duti', 'tccr2b', 'tccr2b', 'b11111000', 'void', 'loop', 'static', 'long', 'counter', 'ifmillis100', 'counter', 'analogwritepin', 'counter255', 'manipul', 'frequenc', 'better', 'play', 'hour', 'final', 'stumbl', 'upon', 'final', 'link', 'believ', 'found', 'via', 'youtub', 'use', 'extern', 'librari', 'pwm', 'librari', 'download', 'googl', 'code', 'saveimportget', 'librari', 'folder', 'restart', 'ide', 'explicitli', 'set', 'frequenc', 'within', 'limit', 'hz', 'within', 'limit', 'set', 'code', 'exampl', 'pwmh', 'int32t', 'frequenc', 'pin', 'void', 'setup', 'pinmodepinoutput', 'int', 'duti', 'inittimerssaf', 'wont', 'touch', 'timer0', 'setpinfrequencysafepinfrequ', 'timer0', 'pwmwritepin', 'duti', 'even', 'pwmwritehr', 'allow', 'higher', 'resolut', 'work', 'timer2', 'bit', 'timer', 'match', 'nonsaf', 'ie', 'initialis', 'us', 'timer0', 'well', 'function', 'inittim', 'setpinfrequencypinfrequ', 'limit', 'found', 'far', 'doesnt', 'work', 'pwm', 'pin', 'd11', 'test', 'd3', 'd9', 'd10', 'work', 'fine', 'around', 'test', 'd5', 'd6', 'good', 'luck', 'hope', 'help']"
940,"['possibl', 'build', 'hid', 'devic', 'keyboard', 'use', 'arduino', 'uno', 'button', 'input', 'arduino', 'give', 'output', 'serial', 'line', 'transform', 'current', 'firmwar', 'behav', 'hid', 'keyboard', 'shall', 'write', 'new', 'window', 'devic', 'driver', 'shall', 'creat', 'softwar', 'layer', 'serial', 'data', 'window', 'read', 'hid', 'input', 'better', 'way', 'achiev', 'possibl']"
941,"['im', 'creat', 'weather', 'station', 'environment', 'datalogg', 'save', 'data', 'sd', 'card', 'breakout', 'sd', 'card', 'work', 'fine', 'name', 'file', 'save', 'date', 'read', 'taken', 'tri', 'multipl', 'thing', 'cant', 'work', 'combin', 'date', 'rtc', 'put', 'file', 'name', 'ive', 'tri', 'give', 'error', 'char', 'datename13', 'stringnowday', 'stringnowmonth', 'stringnowyear', 'csv', 'datafil', 'sdopendatenamefilewrit', 'give', 'error', 'convert', 'stringsumhelp', 'char', 'initi', 'help']"
942,"['edit', 'note', 'klau', 'warzecha', 'sd', 'librari', 'support', 'format', 'filenam', 'ie', 'charact', 'name', 'charact', 'extens', 'solut', 'fact', 'ensur', 'year', 'digit', 'result', 'name', 'sd', 'librari', 'code', 'open', 'method', 'isnt', 'design', 'accept', 'string', 'object', 'paramet', 'want', 'plain', 'old', 'cstyle', 'string', 'mean', 'char', 'array', 'explain', 'first', 'exampl', 'doesnt', 'work', 'tri', 'pa', 'string', 'object', 'second', 'exampl', 'unfortun', 'invalid', 'simpli', 'cant', 'initialis', 'array', 'instead', 'build', 'string', 'object', 'extract', 'charact', 'use', 'stringtochararray', 'work', 'string', 'filenam', 'stringnowday', 'stringnowmonth', 'stringnowyear', 'csv', 'char', 'str16', 'filenametochararraystr', 'datafil', 'sdopenstr', 'filewrit', 'im', 'sure', 'nowyear', 'return', 'ie', 'that', 'digit', 'digit', 'year', 'ive', 'assum', 'digit', 'ive', 'made', 'char', 'array', 'big', 'enough', 'charact', 'total', 'plu', 'extra', 'null', 'termin', 'essenti', 'cstyle', 'string']"
943,"['second', 'case', 'break', 'initi', 'two', 'line', 'tochararray', 'shown', 'move', 'ahead', 'open', 'file', 'problem', 'see', 'quit', 'liter', 'error', 'messag', 'say', 'initi', 'charact', 'array', 'requir', 'charact', 'array', 'initialis', 'string', 'object']"
944,"['espresso', 'machin', 'get', 'water', 'gallon', 'blue', 'water', 'bottl', 'plumb', 'water', 'waaaay', 'hard', 'ever', 'accident', 'let', 'bottl', 'run', 'water', 'rotari', 'pump', 'espresso', 'machin', 'ruin', 'costli', 'mistak', 'instal', 'sort', 'magnet', 'float', 'sensor', 'insid', 'water', 'bottl', 'sinc', 'chang', 'everi', 'week', 'anoth', 'insid', 'bottl', 'chang', 'harder', 'microbi', 'contamin', 'like', 'pump', 'pump', 'water', 'bottl', 'form', 'tight', 'seal', 'lid', 'anyth', 'run', 'compromis', 'seal', 'detect', 'water', 'level', 'low', 'outsid', 'bottl', 'laser', 'sensor']"
945,"['make', 'interfac', 'project', 'plug', 'comput', 'show', 'usb', 'flash', 'storag', 'type', 'keyboard', 'physic', 'button', 'board', 'press', 'seen', 'project', 'gotten', 'work', 'use', 'usb', 'hub', 'two', 'chip', 'share', 'storag', 'sinc', 'hotkey', 'button', 'type', 'inform', 'store', 'flash', 'drive', 'side', 'well', 'act', 'hid', 'act', 'usb', 'storag', 'problem', 'first', 'feel', 'redund', 'second', 'difficult', 'program', 'sinc', 'everi', 'plug', 'mess', 'randomli', 'assign', 'name', 'chip', 'easi', 'way', 'tell', 'send', 'hid', 'code', 'send', 'usb', 'drive', 'code', 'plug', 'wont', 'work', 'project', 'board', 'last', 'problem', 'button', 'work', 'inconsist', 'sinc', 'im', 'assum', 'two', 'chip', 'nice', 'job', 'share', 'access', 'text', 'file', 'tri', 'read', 'text', 'type', 'comput', 'nicer', 'way', 'us', 'arduino', 'act', 'role', 'access', 'flash', 'storag', 'thank']"
946,"['think', 'liquid', 'level', 'switch', 'possibl', 'known', 'fluid', 'switch', 'realiz', 'satisfi', 'requir', 'way', 'solv', 'problem', 'probabl', 'hack', 'togeth', 'put', 'sensor', 'inlin', 'bottl', 'probabl', 'hacki', 'disc', 'plywood', 'diamet', 'water', 'bottl', 'pipe', 'fit', 'middl', 'mount', 'switch', 'water', 'bottl', 'rout', 'water', 'run', 'low', 'trigger', 'switch', 'run', 'pump']"
947,"['seem', 'pump', 'gallon', 'jug', 'close', 'empti', 'inlin', 'flow', 'meter', 'pump', 'espessso', 'maker', 'due', 'water', 'contact', 'mayb', 'espresso', 'shot', 'take', 'amount', 'water', 'call', 'shot', 'calcul', 'time', 'danger', 'zone', 'run', 'water']"
948,"['use', 'forc', 'sensor', 'measur', 'quantiti', 'water', 'satisfi', 'requir', 'sensor', 'exterior', 'water', 'contain', 'recommend', 'use', 'forc', 'sensor', 'weigh', 'bottl', 'set', 'interv', 'forc', 'sensor', 'flexiforc', 'a401', 'type', 'resistor', 'chang', 'resist', 'respons', 'amount', 'forc', 'appli', 'accur', 'scale', 'provid', 'enough', 'accuraci', 'accord', 'datasheet', 'applic', 'describ', 'basic', 'procedur', 'hook', 'forc', 'sensor', 'arduino', 'first', 'measur', 'resist', 'empti', 'bottl', 'measur', 'full', 'bottl', 'give', 'idea', 'forc', 'specif', 'platform', 'actual', 'appli', 'sensor', 'fine', 'tune', 'voltag', 'per', 'datasheet', 'instal', 'basic', 'tutori', 'use', 'similar', 'forc', 'sensor', 'arduino', 'found', 'possibl', 'optic', 'liquid', 'level', 'sensor', 'ultrason', 'level', 'monitor', 'thermistor', 'heat', 'coil', 'variou', 'level', 'measur', 'thermal', 'mass', 'ie', 'water', 'near', 'sensor']"
949,"['im', 'tri', 'pars', 'mani', 'variabl', 'url', 'updat', 'websit', 'simpl', 'http', 'api', 'sensor', 'data', 'talk', 'buddi', 'mine', 'suggest', 'go', 'code', 'put', 'arduino', 'yun', 'boot', 'l13', 'red', 'led', 'turn', 'hose', 'comment', 'line', 'everyth', 'work', 'fine', 'except', 'url', 'pars', 'ive', 'tri', 'debug', 'best', 'abil', 'look', 'thought', 'happen', 'im', 'sure', 'much', 'code', 'post', 'without', 'post', 'whole', 'line', 'sketch', 'im', 'dump', 'part', 'loop', 'tri', 'piec', 'togeth', 'url', 'updat', 'process', 'date', 'daterunshellcommandd', 'utc', 'ymd20hm', 'string', 'utcdatestr', 'dateavail', 'char', 'dateread', 'utcdatestr', 'char', 'url512', 'url00', 'float', 'humid', 'baro', 'windspe', 'raingaug', 'int', 'winddir', 'serialprinthumid', 'serialprintlnhumid', 'serialprintbaro', 'serialprintlnbaro', 'serialprintwindspe', 'serialprintlnwindspe', 'serialprintraingaug', 'serialprintlnraingaug', 'serialprintwinddir', 'serialprintlnwinddir', 'sprintfurl', 'utcdatestringthermistoranalogread0humidbarowinddirwindspeedraingaug', 'serialprinturl', 'serialprintlnurl', 'doubl', 'thermistorint', 'rawadc', 'doubl', 'temp', 'temp', 'log11100010240rawadc1', 'manual', 'dial', 'increas', 'accuraci', 'good', 'valu', 'chang', 'match', 'wunderground', 'temp', 'temp', 'temp', 'temp', 'temp', 'temp', 'convert', 'kelvin', 'celciu', 'temp', 'temp', 'convert', 'celciu', 'fahrenheit', 'return', 'temp', 'here', 'output', 'serialprint', 'call', 'humid', 'baro', 'windspe', 'raingaug', 'winddir', 'url', 'im', 'sure', 'els', 'debug', 'uncom', 'sprintf', 'yun', 'lock', 'press', 'u4', 'reset', 'button', 'power', 'cycl', 'arduino', 'work']"
950,"['anoth', 'option', 'measur', 'current', 'go', 'pump', 'run', 'dri', 'current', 'go', 'gener', 'heat', 'fri', 'pump', 'measur', 'temperatur', 'pump', 'measur', 'current', 'detect', 'begin', 'pump', 'meltdown', 'temperatur', 'detect', 'middl', 'end', 'meltdown', 'instal', 'current', 'limit', 'breaker', 'inlin', 'pump', 'case', 'everyth', 'els', 'fail']"
951,"['look', 'isnt', 'wire', 'perform', 'reason', 'convert', 'float', 'string', 'first', 'use', 'dtostrf']"
952,"['honestli', 'your', 'overthink', 'dipstick', 'float', 'water', 'level', 'drop', 'minimum', 'float', 'move', 'water', 'level', 'pull', 'switch', 'allow', 'ldr', 'hole', 'turn', 'light', 'le']"
953,"['arduino', 'uno', 'us', 'atmel', 'atmega328p', 'microcontrol', 'debug', 'option', 'debugwir', 'tool', 'work', 'least', 'expens', 'commonli', 'avail', 'avr', 'dragon', 'avr', 'studio', 'file', 'file', 'produc', 'arduino', 'build', 'process', 'directli', 'set', 'debugg', 'littl', 'easier', 'port', 'arduino', 'program', 'avr', 'studio', 'difficult', 'lot', 'littl', 'piec', 'deal', 'guid', 'onlin', 'help']"
954,"['your', 'look', 'creat', 'usb', 'composit', 'devic', 'dont', 'exampl', 'within', 'arduino', 'commun', 'dont', 'reason', 'couldnt', 'u2', 'composit', 'devic', 'itll', 'requir', 'effort', 'youd', 'normal', 'put', 'arduino', 'project']"
955,"['whenev', 'light', 'follow', 'path', 'take', 'materi', 'next', 'make', 'sharp', 'turn', 'howev', 'angl', 'deviat', 'differ', 'base', 'characterist', 'materi', 'principl', 'set', 'led', 'level', 'lowest', 'water', 'full', 'light', 'follow', 'certain', 'path', 'across', 'contain', 'reach', 'light', 'sensor', 'water', 'get', 'bellow', 'level', 'miss', 'set', 'second', 'sensor', 'realli', 'want', 'base', 'info', 'water', 'get', 'low', 'appropri', 'action', 'watch', 'recommend', 'measur', 'water', 'use', 'danger', 'leakag', 'either', 'later', 'somebodi', 'might', 'tip', 'machin', 'spill', 'water', 'either', 'case', 'water', 'level', 'lower', 'level', 'calcul', 'certainli', 'result', 'espresso', 'machin', 'ruin']"
